Nama Produk,SKU / Kode Produk,Barcode,Kategori,Satuan Dasar,Merk / Brand,Lokasi / Rak,Hitung Stok (ya/tidak),Harga Modal / Beli,Harga Jual Eceran,Harga Jual Grosir,Harga Jual Promo,Diskon per Item (Rp),Stok di Rak / Display,Stok di Gudang,Stok Minimum,Stok Minimum Gudang,Satuan Beli dari Supplier,Isi per Satuan Beli,Satuan Jual Besar,Harga Jual Besar Satuan,Harga Jual Besar Grosir,Harga Jual Besar Promo,Produk Master (ID),Qty Isi per Paket,Jenis Isi Paket,Satuan Isi Paket,HPP (AVCO),Total Aset
SELANG KOMPRESOR SPIRAL 12M PE,SLKS12PE,SLKS12PE,Alat teknik,PCS,,,tidak,46500,65000,0,,0,0,0,5,,,1,,,,,,,,,0,0
SELANG KOMPRESOR SPIRAL 12M PU,SLKS12PU,SLKS12PU,Alat teknik,PCS,,,tidak,107000,125000,0,,0,0,0,5,,,1,,,,,,,,,0,0
SELANG KOMPRESOR SPIRAL 15M PE,SLKS15PE,SLKS15PE,Alat teknik,PCS,,,tidak,51000,75000,0,,0,0,0,5,,,1,,,,,,,,,0,0
SELANG KOMPRESOR SPIRAL 15M PU,SLKS15PU,SLKS15PU,Alat teknik,PCS,,,tidak,131000,150000,0,,0,0,0,5,,,1,,,,,,,,,0,0
SELANG KOMPRESOR SPIRAL 4M PE,SLKMS4PE,SLKMS4PE,Alat teknik,PCS,,,tidak,23000,35000,0,,0,0,0,5,,,1,,,,,,,,,0,0
SELANG KOMPRESOR SPIRAL 4M PU,SLKMS4PU,SLKMS4PU,Alat teknik,PCS,,,tidak,46500,60000,0,,0,0,0,5,,,1,,,,,,,,,0,0
SELANG KOMPRESOR SPIRAL 6M PE,SLKMS6PE,SLKMS6PE,Alat teknik,PCS,,,tidak,27500,40000,0,,0,0,0,5,,,1,,,,,,,,,0,0
SELANG KOMPRESOR SPIRAL 6M PU,SLKMS6PU,SLKMS6PU,Alat teknik,PCS,,,tidak,63500,77000,0,,0,0,0,5,,,1,,,,,,,,,0,0
SELANG KOMPRESOR SPIRAL 9M PE,SLKS9PE,SLKS9PE,Alat teknik,PCS,,,tidak,36500,55000,0,,0,0,0,5,,,1,,,,,,,,,0,0
SELANG KOMPRESOR SPIRAL 9M PU,SLKMS9PU,SLKMS9PU,Alat teknik,PCS,,,tidak,86500,105000,0,,0,0,0,5,,,1,,,,,,,,,0,0
"SELANG MESIN CUCI 1,5 MTR HPP",SL MSN CC 1.5,MHPSEL01,Umum,PCS,HPP,,tidak,0,25000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
"SELANG MESIN CUCI 1,5M",MNOSEL08,MNOSEL08,Umum,PCS,,Area 03,tidak,0,25000,0,0,0,0,0,5,,PCS,1,,,,,,,,,0,0
SELANG POMPA ANYAM BIASA,MNOSEL01,MNOSEL01,Alat tukang,PCS,,,tidak,0,0,0,0,0,0,5,3,,,1,,,,,,,,,0,0
SELANG POMPA JASON,MJASEL01,MJASEL01,Alat tukang,PCS,JASON,,tidak,0,0,0,0,0,0,1,3,,,1,,,,,,,,,0,0
SELANG POMPA TABUNG TOKIO,SL PP TBG,MTOSEL01,Umum,PCS,TOKIO,,tidak,0,7500,0,0,0,0,0,3,,,1,,,,,,,,,0,0
